domain,timestamp,resource,response_code,response_length
decent.usask.ca,[01/Jun/1995:15:00:37-0600],/images/logo.gif ,304,0.0
infolink-is.isnet.net,[01/Jun/1995:15:06:49-0600],/~lowey/Saskatoon/about_saskatoon/weather.html,200,1250.0
jaeger.usask.ca,[01/Jun/1995:15:13:56-0600],/~maton/sm-antarctica.gif,200,5825.0
alice-thurman.tenet.edu,[01/Jun/1995:15:19:02-0600],/~lowey/webville/places/info_centre/index.html,200,1224.0
mishka.usask.ca,[01/Jun/1995:15:24:23-0600],/~lowey/Saskatchewan/icons/citynet.gif,200,776.0
olie.wvitcoe.wvnet.edu,[01/Jun/1995:15:29:54-0600],/~ladd/images/hline.gif,200,2424.0
ped44071.usask.ca,[01/Jun/1995:15:40:32-0600],/images/logo.gif ,200,2273.0
ag58175.usask.ca,[01/Jun/1995:15:47:47-0600],/ ,304,0.0
loki.usask.ca,[01/Jun/1995:15:54:28-0600],/images/logo.gif ,200,2273.0
edu269.usask.ca,[01/Jun/1995:16:02:39-0600],/education/ ,200,8357.0
csmaclab-mac12.uchicago.edu,[01/Jun/1995:16:10:46-0600],/dcs/courses/cai/html/contents.html ,200,1453.0
csmaclab-mac14.uchicago.edu,[01/Jun/1995:16:22:35-0600],/dcs/courses/cai/html/ ,200,1716.0
aha345.ccs.itd.umich.edu,[01/Jun/1995:16:29:55-0600],/~turner/paul2.gif,200,97788.0
sask.usask.ca,[01/Jun/1995:16:38:03-0600],/dcs/courses/cai/html/unix_lesson/index.html ,200,1492.0
sask.usask.ca,[01/Jun/1995:16:48:28-0600],/dcs/courses/cai/html/glossary/comment.html ,200,982.0
tazzie.usask.ca,[01/Jun/1995:17:01:25-0600],/~philmic/,200,993.0
199.126.10.6,[01/Jun/1995:17:08:30-0600],/ ,200,3384.0
cob807.hcob.wmich.edu,[01/Jun/1995:17:29:34-0600],/cgi-bin/hytelnet ,200,1485.0
discus.anu.edu.au,[01/Jun/1995:17:40:44-0600],/cgi-bin/hytelnet?file=US000 ,200,798.0
toyon-94-121.stanford.edu,[01/Jun/1995:17:49:27-0600],/~macpherc/images/hot.gif,200,1324.0
itjio.fullerton.edu,[01/Jun/1995:17:58:25-0600],/~turner/ferrets1.GIF,200,24409.0
m91889.mcclellan.af.mil,[01/Jun/1995:18:20:02-0600],/~ladd/images/at_work.gif,200,242.0
m91889.mcclellan.af.mil,[01/Jun/1995:18:27:11-0600],/~ladd/ratite_home.html,200,3281.0
134.196.27.103,[01/Jun/1995:18:36:20-0600],/~lowey/encyclopedia/icons/kevhead.gif,200,1667.0
infoserv.utdallas.edu,[01/Jun/1995:18:40:45-0600],/~lowey/kev_dino.gif,200,38469.0
slip42.gulf.net,[01/Jun/1995:18:53:10-0600],/~ladd/ratite_home.html,200,3281.0
bos1d.delphi.com,[01/Jun/1995:19:17:27-0600],/cgi-bin/hytelnet?file=SITES1 ,200,354.0
toronto.cbc.ca,[01/Jun/1995:19:30:58-0600],/lycos/spider-icon.gif ,200,881.0
chaos.idirect.com,[01/Jun/1995:19:43:31-0600],/cgi-bin/hytelnet?file=OP004 ,200,1540.0
bos1f.delphi.com,[01/Jun/1995:19:56:16-0600],/cgi-bin/hytelnet?file=SITES1 ,200,354.0
line05.pm2.nwm.mindlink.net,[01/Jun/1995:20:07:40-0600],/~keele/images/lefarrow.gif,200,1289.0
calis01.lang.duke.edu,[01/Jun/1995:20:16:19-0600],/~maton/button.xbm,200,246.0
dial186105.wbm.ca,[01/Jun/1995:20:41:08-0600],/ ,200,3384.0
dd02-021.compuserve.com,[01/Jun/1995:20:56:52-0600],/~lowey/Saskatoon/searching/people.html,200,761.0
yhqfm.yokogawa.co.jp,[01/Jun/1995:21:19:03-0600],/~scottp/publish.html,200,271.0
mirage.netrover.com,[01/Jun/1995:21:36:34-0600],/cgi-bin/cusi?query=&service=http%3A%2F%2Fcuiwww.unige.ch%2Ffreecomp%3F_cusi-search-term-here_ ,400,30.0
herald.usask.ca,[01/Jun/1995:21:44:23-0600],/psychiatry/ ,200,4462.0
sabre23.sasknet.sk.ca,[01/Jun/1995:21:50:37-0600],/~lowey/icons/kevhead.gif,200,1783.0
dial025.passport.ca,[01/Jun/1995:21:58:27-0600],/~dougallg/welcome.wav,200,33044.0
edu269.usask.ca,[01/Jun/1995:22:05:10-0600],/horticulture/imgs/line.gif ,200,1131.0
ppp122.cac.psu.edu,[01/Jun/1995:22:15:58-0600],/~keele/images/line.gif,200,1131.0
204.92.49.16,[01/Jun/1995:22:34:04-0600],/library/gic/ ,200,1117.0
broadway.sfn.saskatoon.sk.ca,[01/Jun/1995:22:45:42-0600],/~medialit/keypalm.htm,200,1334.0
lkan.hle.niigata-u.ac.jp,[01/Jun/1995:23:04:51-0600],/~macphed/finite/fe_resources/node45.html,200,1797.0
sabre38.sasknet.sk.ca,[01/Jun/1995:23:19:55-0600],/~lowey/Saskatoon/about_saskatoon/weather.html,200,1250.0
sklib.usask.ca,[01/Jun/1995:23:33:42-0600],/search/people.shtml ,200,896.0
ellardr.worldgate.edmonton.ab.ca,[01/Jun/1995:23:45:47-0600],/~lowey/Saskatoon/about_saskatoon/index.html,200,868.0
158.75.8.74,[02/Jun/1995:00:05:53-0600],/cgi-bin/hytelnet?file=OTH000 ,200,11103.0
freenet2.carleton.ca,[02/Jun/1995:00:31:34-0600],/~scottp/free.html,200,5759.0
rc1097-f217.tem.nhl.nl,[02/Jun/1995:01:08:24-0600],/~macpherc/index.html,200,1780.0
herald.usask.ca,[02/Jun/1995:01:36:09-0600],/ ,200,3384.0
aec59048.usask.ca,[02/Jun/1995:02:21:07-0600],/changes.html ,200,1437.0
wilde.iol.ie,[02/Jun/1995:02:52:12-0600],/~keele/images/karate/dovefist.gif,200,2348.0
phoenix.doc.ic.ac.uk,[02/Jun/1995:03:18:03-0600],/~maton/intro.html,200,16279.0
netcom16.netcom.com,[02/Jun/1995:03:58:41-0600],/~lowey/boots.html,200,1443.0
utto1006.to.utwente.nl,[02/Jun/1995:04:07:02-0600],/~lowey/webville/icons/sound_32.gif,200,211.0
cabot.coretech.com,[02/Jun/1995:04:35:26-0600],/~lowey/webville/map/index.html,200,2243.0
sw24-72.iol.it,[02/Jun/1995:04:44:28-0600],/cgi-bin/hytelnet?file=CUSTOM ,200,872.0
zaphod.ucd.ie,[02/Jun/1995:05:05:35-0600],/cgi-bin/hytelnet ,200,1485.0
130.235.204.162,[02/Jun/1995:05:25:16-0600],/dcs/courses/cai/html/tools_lesson/index.html ,200,1550.0
its3-8.public.dundee.ac.uk,[02/Jun/1995:05:48:27-0600],/cgi-bin/hytelnet?file=US000OTH ,200,48064.0
its3-8.public.dundee.ac.uk,[02/Jun/1995:06:07:56-0600],/cgi-bin/hytelnet?file=US000OTH ,200,48064.0
med457.bham.ac.uk,[02/Jun/1995:06:30:58-0600],/~scottp/free.html,200,5759.0
fatty.law.cornell.edu,[02/Jun/1995:06:41:17-0600],/~ladd/ostriches.html,200,205908.0
crowfoot.nda.ox.ac.uk,[02/Jun/1995:06:53:43-0600],/~macpherc/hibs/AK/AK.html,200,1531.0
